time [s]	pitch[degree/s]	yaw[degree/s]	roll[degree/s]	altitude[km]	long[degrees]	latd[degrees]	thrust[kN]
   6.6000000e-01   1.5091705e-08  -1.2760227e-01  -5.0002509e+01   5.0061107e-02   1.6018840e+01   6.9294098e+01   4.8416652e+05
   6.7000000e-01   1.2287628e-08  -1.2760227e-01  -5.0002548e+01   5.0184906e-02   1.6018840e+01   6.9294098e+01   4.8412916e+05
   6.8000000e-01   1.4433454e-09  -1.2760227e-01  -5.0002587e+01   5.0310843e-02   1.6018840e+01   6.9294098e+01   4.8409217e+05
   6.9000000e-01  -1.2327132e-08  -1.2760227e-01  -5.0002626e+01   5.0438916e-02   1.6018840e+01   6.9294098e+01   4.8405512e+05
   7.0000000e-01  -2.3998346e-08  -1.2760227e-01  -5.0002665e+01   5.0569126e-02   1.6018840e+01   6.9294098e+01   4.8401797e+05
   7.1000000e-01  -2.8662948e-08  -1.2760227e-01  -5.0002704e+01   5.0701472e-02   1.6018840e+01   6.9294098e+01   4.8398117e+05
   7.2000000e-01  -2.1769979e-08  -1.2760227e-01  -5.0002743e+01   5.0835956e-02   1.6018840e+01   6.9294098e+01   4.8394520e+05
   7.3000000e-01  -6.0718694e-09  -1.2760227e-01  -5.0002782e+01   5.0972577e-02   1.6018840e+01   6.9294098e+01   4.8391003e+05
   7.4000000e-01   8.7468778e-09  -1.2760228e-01  -5.0002821e+01   5.1111336e-02   1.6018840e+01   6.9294098e+01   4.8387514e+05
   7.5000000e-01   1.3405344e-08  -1.2760228e-01  -5.0002860e+01   5.1252233e-02   1.6018840e+01   6.9294098e+01   4.8384003e+05
   7.6000000e-01   6.9938949e-09  -1.2760228e-01  -5.0002899e+01   5.1395268e-02   1.6018840e+01   6.9294098e+01   4.8380482e+05
   7.7000000e-01  -5.7509777e-09  -1.2760228e-01  -5.0002938e+01   5.1540441e-02   1.6018840e+01   6.9294098e+01   4.8377005e+05
   7.8000000e-01  -1.9916603e-08  -1.2760228e-01  -5.0002977e+01   5.1687752e-02   1.6018840e+01   6.9294098e+01   4.8373620e+05
   7.9000000e-01  -3.0035116e-08  -1.2760228e-01  -5.0003016e+01   5.1837201e-02   1.6018840e+01   6.9294098e+01   4.8370306e+05
   8.0000000e-01  -3.0375521e-08  -1.2760228e-01  -5.0003056e+01   5.1988788e-02   1.6018840e+01   6.9294098e+01   4.8367014e+05
   8.1000000e-01  -1.7490921e-08  -1.2760229e-01  -5.0003095e+01   5.2142515e-02   1.6018840e+01   6.9294098e+01   4.8363702e+05
   8.2000000e-01   7.3855900e-11  -1.2760229e-01  -5.0003134e+01   5.2298381e-02   1.6018840e+01   6.9294098e+01   4.8360380e+05
   8.3000000e-01   9.8551171e-09  -1.2760229e-01  -5.0003173e+01   5.2456385e-02   1.6018840e+01   6.9294098e+01   4.8357073e+05
   8.4000000e-01   4.2940071e-09  -1.2760229e-01  -5.0003212e+01   5.2616529e-02   1.6018840e+01   6.9294098e+01   4.8353797e+05
   8.5000000e-01  -6.7560222e-09  -1.2760229e-01  -5.0003251e+01   5.2778812e-02   1.6018840e+01   6.9294098e+01   4.8350538e+05
   8.6000000e-01  -9.6024650e-09  -1.2760229e-01  -5.0003290e+01   5.2943235e-02   1.6018840e+01   6.9294098e+01   4.8347274e+05
   8.7000000e-01   2.5725950e-09  -1.2760230e-01  -5.0003329e+01   5.3109797e-02   1.6018840e+01   6.9294098e+01   4.8344002e+05
   8.8000000e-01   1.9894103e-08  -1.2760230e-01  -5.0003368e+01   5.3278500e-02   1.6018840e+01   6.9294098e+01   4.8340766e+05
   8.9000000e-01   3.0083491e-08  -1.2760230e-01  -5.0003407e+01   5.3449343e-02   1.6018840e+01   6.9294098e+01   4.8337614e+05
   9.0000000e-01   2.7148626e-08  -1.2760230e-01  -5.0003446e+01   5.3622325e-02   1.6018840e+01   6.9294098e+01   4.8334559e+05
   9.1000000e-01   1.5753316e-08  -1.2760230e-01  -5.0003485e+01   5.3797449e-02   1.6018840e+01   6.9294098e+01   4.8331552e+05
   9.2000000e-01   1.5823620e-09  -1.2760230e-01  -5.0003524e+01   5.3974713e-02   1.6018840e+01   6.9294098e+01   4.8328539e+05
