t[s]	emp[N]	Ixx[kgm2]	Iyy[kgm2]	Izz[kgm2]	massa[kg]	Xcg[m]	altitude[km]	long[deg]	gdLat[deg]	DLR_pitch[deg]	DLR_yaw[deg]	DLR_roll[deg]
0.410000000	485220.626989353	3874.910007457	76498.682983539	76498.682983539	15565.362924317	-8.032310036	0.051164345	-44.367775000	-2.315994800	0.000550286	0.015486946	-50.001258156
0.420000000	485178.256351316	3874.790000443	76493.623739552	76493.623739552	15563.455574450	-8.032220003	0.051234954	-44.367775000	-2.315994800	0.000563759	0.015486945	-50.001288868
0.430000000	485137.576734438	3874.669993995	76488.564480435	76488.564480435	15561.548615328	-8.032129968	0.051307701	-44.367775000	-2.315994800	0.000577235	0.015486944	-50.001319580
0.440000000	485097.951064560	3874.549981024	76483.505201275	76483.505201275	15559.641956594	-8.032039959	0.051382586	-44.367775000	-2.315994800	0.000590671	0.015486943	-50.001350292
0.450000000	485056.823102317	3874.429960441	76478.445921087	76478.445921087	15557.735312740	-8.031949992	0.051459610	-44.367775000	-2.315994800	0.000604042	0.015486941	-50.001381005
0.460000000	485014.406227032	3874.309959403	76473.386658897	76473.386658897	15555.828400173	-8.031860020	0.051538772	-44.367775000	-2.315994800	0.000617410	0.015486939	-50.001411717
0.470000000	484971.583037494	3874.189999254	76468.327416259	76468.327416259	15553.921076849	-8.031770000	0.051620072	-44.367775000	-2.315994800	0.000630841	0.015486938	-50.001442429
0.480000000	484928.606053785	3874.070039956	76463.268118714	76463.268118714	15552.013814038	-8.031679980	0.051703512	-44.367775000	-2.315994800	0.000644315	0.015486936	-50.001473141
0.490000000	484885.600692849	3873.950040051	76458.208746782	76458.208746782	15550.107026595	-8.031590007	0.051789090	-44.367775000	-2.315994800	0.000657790	0.015486935	-50.001503854
0.500000000	484842.870378296	3873.830019540	76453.149585379	76453.149585379	15548.200231356	-8.031500040	0.051876807	-44.367775000	-2.315994800	0.000671221	0.015486934	-50.001534566
0.510000000	484800.635443094	3873.710006263	76448.090829158	76448.090829158	15546.292960350	-8.031410033	0.051966663	-44.367775000	-2.315994800	0.000684589	0.015486932	-50.001565278
0.520000000	484758.640290571	3873.589999724	76443.032051840	76443.032051840	15544.385642853	-8.031319998	0.052058659	-44.367775000	-2.315994800	0.000697960	0.015486931	-50.001595991
0.530000000	484716.603112191	3873.469992829	76437.972862475	76437.972862475	15542.478739241	-8.031229965	0.052152794	-44.367775000	-2.315994800	0.000711396	0.015486930	-50.001626703
0.540000000	484674.533150346	3873.349978492	76432.913489294	76432.913489294	15540.572098118	-8.031139961	0.052249068	-44.367775000	-2.315994800	0.000724872	0.015486928	-50.001657415
0.550000000	484632.503721631	3873.229958446	76427.854199071	76427.854199071	15538.665435850	-8.031049997	0.052347481	-44.367775000	-2.315994800	0.000738347	0.015486927	-50.001688128
0.560000000	484590.592741744	3873.109962536	76422.794956736	76422.794956736	15536.758466988	-8.030960020	0.052448034	-44.367775000	-2.315994800	0.000751771	0.015486925	-50.001718840
0.570000000	484548.806581837	3872.990005705	76417.735692562	76417.735692562	15534.851113135	-8.030869996	0.052550728	-44.367775000	-2.315994800	0.000765130	0.015486923	-50.001749553
0.580000000	484506.937860359	3872.870042383	76412.676411799	76412.676411799	15532.943908218	-8.030779981	0.052655561	-44.367775000	-2.315994800	0.000778512	0.015486922	-50.001780265
0.590000000	484464.962907168	3872.750037795	76407.617133471	76407.617133471	15531.037168445	-8.030690012	0.052762534	-44.367775000	-2.315994800	0.000791973	0.015486920	-50.001810977
0.600000000	484423.468497759	3872.630017183	76402.557876533	76402.557876533	15529.130306209	-8.030600042	0.052871647	-44.367775000	-2.315994800	0.000805416	0.015486918	-50.001841690
0.610000000	484382.952728524	3872.510005183	76397.498630983	76397.498630983	15527.222961723	-8.030510029	0.052982901	-44.367775000	-2.315994800	0.000818782	0.015486916	-50.001872402
0.620000000	484343.424240482	3872.389998998	76392.439313657	76392.439313657	15525.315742857	-8.030419993	0.053096295	-44.367775000	-2.315994800	0.000832153	0.015486914	-50.001903115
0.630000000	484304.635161243	3872.269991537	76387.379953133	76387.379953133	15523.409003432	-8.030329962	0.053211829	-44.367775000	-2.315994800	0.000845596	0.015486913	-50.001933827
0.640000000	484265.915074459	3872.149975770	76382.320867572	76382.320867572	15521.502141608	-8.030239965	0.053329504	-44.367775000	-2.315994800	0.000859076	0.015486911	-50.001964540
0.650000000	484226.992978446	3872.029956859	76377.262149994	76377.262149994	15519.594815348	-8.030150002	0.053449321	-44.367775000	-2.315994800	0.000872546	0.015486909	-50.001995252
0.660000000	484188.605626162	3871.909966517	76372.203309362	76372.203309362	15517.687553697	-8.030060019	0.053571278	-44.367775000	-2.315994800	0.000885963	0.015486908	-50.002025965
0.670000000	484151.188412233	3871.790012047	76367.144059641	76367.144059641	15515.780718790	-8.029969992	0.053695376	-44.367775000	-2.315994800	0.000899324	0.015486906	-50.002056677
0.680000000	484114.288838077	3871.670043941	76362.084690620	76362.084690620	15513.874095632	-8.029879983	0.053821615	-44.367775000	-2.315994800	0.000912705	0.015486904	-50.002087390
0.690000000	484077.451223960	3871.550035268	76357.025416189	76357.025416189	15511.967398847	-8.029790018	0.053949996	-44.367775000	-2.315994800	0.000926153	0.015486902	-50.002118103
0.700000000	484040.424368896	3871.430015044	76351.966172750	76351.966172750	15510.060346618	-8.029700043	0.054080518	-44.367775000	-2.315994800	0.000939632	0.015486900	-50.002148815
0.710000000	484003.383973453	3871.310004201	76346.906904141	76346.906904141	15508.152971794	-8.029610025	0.054213183	-44.367775000	-2.315994800	0.000953099	0.015486898	-50.002179528
0.720000000	483967.212084707	3871.189998252	76341.847622404	76341.847622404	15506.245857301	-8.029519988	0.054347989	-44.367775000	-2.315994800	0.000966511	0.015486896	-50.002210240
0.730000000	483932.170226256	3871.069990104	76336.788346564	76336.788346564	15504.339150308	-8.029429960	0.054484937	-44.367775000	-2.315994800	0.000979870	0.015486894	-50.002240953
0.740000000	483897.383159385	3870.949972935	76331.729094930	76331.729094930	15502.432194379	-8.029339968	0.054624027	-44.367775000	-2.315994800	0.000993256	0.015486892	-50.002271666
0.750000000	483862.345010563	3870.829955758	76326.669843320	76326.669843320	15500.524816371	-8.029250007	0.054765261	-44.367775000	-2.315994800	0.001006708	0.015486889	-50.002302378
0.760000000	483827.284502851	3870.709971222	76321.610505771	76321.610505771	15498.617692077	-8.029160017	0.054908636	-44.367775000	-2.315994800	0.001020189	0.015486887	-50.002333091
